cust_no,age_gender,update_dt
04847,20S M,20180825
04847,20S M,20180825
04847,20S M,20180825
04847,20S M,20180825
05571,20S F,20180825
02772,20S F,20180825
16870,20S M,20180825
03596,20S F,20180825
03596,20S F,20180825
12251,50S M,20180825
13326,20S M,20180825
13326,20S M,20180825
13380,50S M,20180825
14427,20S F,20180825
15959,20S M,20180825
15984,50S M,20180825
17848,20S F,20180825
02601,20S M,20180825
02601,20S M,20180825
09426,20S M,20180825
14157,50S M,20180825
14157,50S M,20180825
14322,50S M,20180825
16927,20S M,20180825
09809,20S F,20180825
18790,20S M,20180825
18790,20S M,20180825
01592,20S M,20180825
01592,20S M,20180825
15466,20S M,20180825
15466,20S M,20180825
15980,20S F,20180825
16120,20S M,20180825
16633,20S F,20180825
16633,20S F,20180825
17817,20S F,20180825
00923,20S F,20180825
08749,20S F,20180825
13374,20S F,20180825
17571,20S M,20180825
14146,20S F,20180825
08979,20S F,20180825
17605,20S M,20180825
00610,20S F,20180825
00610,20S F,20180825
02283,50S M,20180825
02283,50S M,20180825
11223,20S F,20180825
12968,20S F,20180825
13851,20S F,20180825
13851,20S F,20180825
06193,20S F,20180825
06193,20S F,20180825
09414,20S F,20180825
09414,20S F,20180825
02117,20S M,20180825
02117,20S M,20180825
00662,50S M,20180825
00662,50S M,20180825
08619,20S M,20180825
03914,20S F,20180825
03914,20S F,20180825
00120,30S F,20180829
00299,30S M,20180829
00305,50S M,20180829
00596,20S M,20180829
00596,20S M,20180829
00620,30S F,20180829
00620,30S F,20180829
01774,30S F,20180829
01826,30S F,20180829
02333,50S M,20180829
02337,20S F,20180829
02445,20S F,20180829
02727,20S M,20180829
03094,50S M,20180829
03238,40S M,20180829
03482,30S F,20180829
03870,20S F,20180829
04085,30S F,20180829
04290,50S M,20180829
04412,30S F,20180829
04490,20S F,20180829
05024,30S F,20180829
05062,30S F,20180829
05062,30S F,20180829
05139,30S F,20180829
05161,30S F,20180829
05351,30S F,20180829
05445,30S F,20180829
05519,40S M,20180829
05545,30S M,20180829
05603,40S F,20180829
05725,20S F,20180829
05785,30S F,20180829
05785,30S F,20180829
06989,20S F,20180829
07239,30S M,20180829
07347,40S F,20180829
07347,40S F,20180829
07995,40S F,20180829
08540,30S F,20180829
08625,20S M,20180829
08673,40S F,20180829
09225,30S M,20180829
09854,40S F,20180829
09854,40S F,20180829
10237,20S F,20180829
10406,30S F,20180829
10411,30S F,20180829
10543,30S F,20180829
10670,40S F,20180829
11119,20S F,20180829
11677,40S F,20180829
11766,30S F,20180829
11964,20S F,20180829
12193,30S F,20180829
12600,20S F,20180829
12909,30S M,20180829
13109,40S M,20180829
13191,30S M,20180829
13191,30S M,20180829
13214,40S M,20180829
13488,30S F,20180829
13542,20S F,20180829
13570,40S F,20180829
13743,50S M,20180829
13760,30S M,20180829
13768,20S M,20180829
13979,30S F,20180829
14140,40S M,20180829
14140,40S M,20180829
14304,30S F,20180829
14489,50S M,20180829
14692,30S F,20180829
14820,20S M,20180829
14953,40S F,20180829
14953,40S F,20180829
14954,30S F,20180829
15219,20S M,20180829
15341,30S M,20180829
15634,40S F,20180829
16242,40S F,20180829
16347,20S M,20180829
16518,30S F,20180829
16692,40S M,20180829
16692,40S M,20180829
17109,30S F,20180829
17116,40S F,20180829
17256,50S M,20180829
17545,30S F,20180829
18162,30S F,20180829
18446,30S M,20180829
18881,50S M,20180829
18963,50S M,20180829
00266,30S M,20180829
00266,30S M,20180829
00707,30S M,20180829
01009,40S F,20180829
01093,30S F,20180829
01320,50S M,20180829
01613,20S M,20180829
01740,30S F,20180829
01897,20S F,20180829
02063,30S M,20180829
02392,40S F,20180829
02695,20S F,20180829
03698,30S F,20180829
03836,30S F,20180829
03943,40S F,20180829
04368,30S F,20180829
04554,50S M,20180829
04693,20S M,20180829
04774,30S F,20180829
04908,20S M,20180829
04992,50S M,20180829
05394,40S F,20180829
05584,20S F,20180829
05774,20S M,20180829
06032,30S F,20180829
06327,50S M,20180829
06395,20S M,20180829
07052,50S M,20180829
07052,50S M,20180829
07130,30S F,20180829
07507,30S F,20180829
07605,30S M,20180829
07729,30S F,20180829
08088,30S F,20180829
08491,40S F,20180829
08494,30S M,20180829
09296,20S F,20180829
09389,40S F,20180829
09419,20S F,20180829
09439,40S F,20180829
09532,40S M,20180829
09549,30S M,20180829
09839,40S M,20180829
09959,30S M,20180829
09959,30S M,20180829
09987,40S M,20180829
10090,40S F,20180829
10147,20S M,20180829
10380,30S F,20180829
10631,40S M,20180829
10668,40S F,20180829
10965,20S F,20180829
10965,20S F,20180829
10965,20S F,20180829
11373,40S M,20180829
11457,40S M,20180829
11508,30S M,20180829
12080,20S M,20180829
12418,40S M,20180829
12418,40S M,20180829
12512,30S F,20180829
12546,30S F,20180829
12623,40S F,20180829
12777,30S F,20180829
12838,50S M,20180829
13419,20S F,20180829
13636,30S F,20180829
13722,30S F,20180829
13727,30S F,20180829
13906,40S F,20180829
14050,30S M,20180829
14991,50S M,20180829
15091,40S F,20180829
15091,40S F,20180829
15473,30S F,20180829
15617,20S M,20180829
15617,20S M,20180829
15617,20S M,20180829
15931,20S F,20180829
15931,20S F,20180829
16159,30S F,20180829
16769,50S M,20180829
16950,50S M,20180829
17124,30S M,20180829
17139,30S F,20180829
17254,20S M,20180829
17414,30S M,20180829
17550,40S M,20180829
17659,40S M,20180829
17664,20S F,20180829
17749,20S F,20180829
17749,20S F,20180829
18099,30S F,20180829
18133,20S M,20180829
18160,30S F,20180829
18230,40S F,20180829
18230,40S F,20180829
18714,30S F,20180829
18714,30S F,20180829
18869,40S F,20180829
19011,30S M,20180829
19011,30S M,20180829
00517,40S M,20180829
00630,30S F,20180829
00694,30S M,20180829
00823,30S M,20180829
00970,30S F,20180829
01052,50S M,20180829
01333,30S F,20180829
01651,30S M,20180829
01660,30S F,20180829
01770,30S M,20180829
01957,50S M,20180829
02218,20S M,20180829
02732,40S M,20180829
03735,30S F,20180829
03831,30S M,20180829
03980,40S F,20180829
03980,40S F,20180829
04056,30S F,20180829
04081,50S M,20180829
04524,40S M,20180829
04631,40S F,20180829
04900,50S M,20180829
04969,20S M,20180829
05022,30S F,20180829
05065,40S M,20180829
05330,50S M,20180829
05338,40S M,20180829
06286,20S F,20180829
06402,30S M,20180829
07016,30S F,20180829
07053,50S M,20180829
07258,50S M,20180829
07708,50S M,20180829
07927,30S F,20180829
08166,40S F,20180829
08166,40S F,20180829
08194,40S F,20180829
08215,20S F,20180829
08582,40S F,20180829
08646,20S M,20180829
08722,30S F,20180829
09063,30S F,20180829
09083,40S M,20180829
09435,40S M,20180829
09437,30S M,20180829
09478,30S F,20180829
09742,50S M,20180829
10826,40S M,20180829
11575,50S M,20180829
11827,40S M,20180829
12586,30S F,20180829
12586,30S F,20180829
13102,20S M,20180829
13469,30S F,20180829
13564,50S M,20180829
14592,40S F,20180829
14618,50S M,20180829
15029,20S M,20180829
15178,40S F,20180829
15274,30S M,20180829
15678,40S M,20180829
16001,40S M,20180829
16001,40S M,20180829
16294,50S M,20180829
16295,30S F,20180829
16313,30S M,20180829
16420,40S M,20180829
16459,30S F,20180829
16961,30S F,20180829
17252,30S M,20180829
17917,30S F,20180829
17964,50S M,20180829
18079,30S F,20180829
18434,50S M,20180829
18442,30S F,20180829
18487,30S M,20180829
19046,30S F,20180829
00304,30S F,20180829
00506,40S M,20180829
00609,30S F,20180829
01395,40S F,20180829
01406,40S M,20180829
01440,20S M,20180829
01562,30S F,20180829
01562,30S F,20180829
01686,20S M,20180829
01775,20S M,20180829
01918,30S F,20180829
02069,30S F,20180829
02360,40S F,20180829
02613,30S F,20180829
02952,30S F,20180829
03021,30S F,20180829
03299,30S F,20180829
03375,50S M,20180829
03493,30S M,20180829
03881,50S M,20180829
04049,50S M,20180829
04275,40S M,20180829
04492,20S M,20180829
04531,20S F,20180829
04761,30S F,20180829
05514,50S M,20180829
05533,30S M,20180829
05533,30S M,20180829
05656,40S F,20180829
05813,50S M,20180829
05970,20S M,20180829
06219,30S F,20180829
06410,30S F,20180829
06799,30S F,20180829
06799,30S F,20180829
06918,20S M,20180829
07127,30S F,20180829
07129,20S F,20180829
07830,20S M,20180829
07880,30S M,20180829
07934,20S M,20180829
08232,30S F,20180829
08315,40S M,20180829
08351,30S F,20180829
08516,50S M,20180829
08626,30S F,20180829
08791,20S M,20180829
08900,40S F,20180829
08945,20S F,20180829
08965,30S F,20180829
09461,30S M,20180829
09472,40S M,20180829
09544,50S M,20180829
09791,30S F,20180829
09966,50S M,20180829
10216,40S F,20180829
10336,30S M,20180829
10932,40S M,20180829
11736,20S F,20180829
11846,50S M,20180829
12034,50S M,20180829
12341,40S F,20180829
12745,30S F,20180829
12999,30S M,20180829
13344,30S F,20180829
13682,50S M,20180829
13759,30S F,20180829
13759,30S F,20180829
14178,30S F,20180829
14711,20S M,20180829
14990,30S F,20180829
14990,30S F,20180829
15053,30S F,20180829
15221,50S M,20180829
15525,30S F,20180829
15594,30S F,20180829
15701,50S M,20180829
15741,30S F,20180829
15906,20S M,20180829
16038,40S F,20180829
16063,50S M,20180829
16360,30S F,20180829
16496,50S M,20180829
16834,50S M,20180829
16965,30S M,20180829
17431,50S M,20180829
17536,30S F,20180829
17757,30S M,20180829
17991,40S M,20180829
18130,30S F,20180829
18703,50S M,20180829
00084,30S F,20180829
00113,40S M,20180829
00409,50S M,20180829
00711,30S F,20180829
00711,30S F,20180829
00990,30S M,20180829
01210,30S F,20180829
01499,20S M,20180829
02082,40S M,20180829
02082,40S M,20180829
02557,50S M,20180829
02631,30S F,20180829
02639,30S M,20180829
02853,40S F,20180829
02953,30S F,20180829
03300,30S F,20180829
03344,30S F,20180829
03747,40S M,20180829
03787,30S M,20180829
03797,30S F,20180829
04312,20S M,20180829
05092,40S F,20180829
05147,30S F,20180829
05881,30S F,20180829
06116,20S F,20180829
06181,50S M,20180829
06338,40S F,20180829
06451,40S F,20180829
06493,30S F,20180829
06523,30S M,20180829
06540,30S F,20180829
06676,50S M,20180829
06676,50S M,20180829
06730,40S M,20180829
06763,40S F,20180829
06763,40S F,20180829
06946,40S F,20180829
07286,20S M,20180829
07491,20S M,20180829
07599,30S F,20180829
07928,40S M,20180829
08302,30S F,20180829
08362,30S F,20180829
09100,40S F,20180829
09150,30S F,20180829
09369,20S M,20180829
09733,30S F,20180829
09874,30S F,20180829
09953,20S M,20180829
10180,30S M,20180829
10180,30S M,20180829
10400,40S M,20180829
10418,50S M,20180829
10579,40S M,20180829
10692,30S M,20180829
10710,20S M,20180829
10710,20S M,20180829
10721,30S F,20180829
10739,30S M,20180829
11147,40S M,20180829
11185,30S F,20180829
11518,40S M,20180829
11618,30S F,20180829
11782,30S F,20180829
12036,50S M,20180829
12188,20S F,20180829
12448,30S M,20180829
12547,40S F,20180829
12731,40S F,20180829
12858,20S F,20180829
12894,50S M,20180829
13151,40S F,20180829
13151,40S F,20180829
13328,20S M,20180829
13626,30S F,20180829
13642,50S M,20180829
13838,40S F,20180829
13838,40S F,20180829
13916,30S M,20180829
13960,40S M,20180829
14391,50S M,20180829
14511,30S F,20180829
14851,50S M,20180829
14979,30S F,20180829
15003,30S M,20180829
15167,20S F,20180829
15570,40S F,20180829
15639,50S M,20180829
15923,30S F,20180829
16034,40S F,20180829
17080,50S M,20180829
17518,30S F,20180829
17710,50S M,20180829
17710,50S M,20180829
17949,20S M,20180829
17949,20S M,20180829
18739,30S M,20180829
18806,40S M,20180829
18806,40S M,20180829
00142,30S M,20180829
00405,30S M,20180829
00789,20S M,20180829
00865,40S F,20180829
01074,40S F,20180829
01074,40S F,20180829
01126,20S F,20180829
01126,20S F,20180829
01126,20S F,20180829
01953,30S F,20180829
02202,30S F,20180829
02512,50S M,20180829
03080,30S F,20180829
03080,30S F,20180829
03213,40S M,20180829
03515,40S M,20180829
03607,30S F,20180829
03625,40S M,20180829
04403,40S F,20180829
04694,40S F,20180829
04968,30S F,20180829
04985,30S F,20180829
05164,30S M,20180829
05196,40S F,20180829
05256,20S M,20180829
05634,30S M,20180829
05686,40S M,20180829
05699,30S M,20180829
05931,20S F,20180829
05999,20S F,20180829
06182,30S F,20180829
06659,40S M,20180829
06723,20S M,20180829
06792,50S M,20180829
06804,30S F,20180829
06815,40S M,20180829
06973,30S M,20180829
07289,20S M,20180829
07570,30S F,20180829
07570,30S F,20180829
07667,50S M,20180829
07803,30S F,20180829
07803,30S F,20180829
07874,40S M,20180829
07895,20S F,20180829
08113,30S F,20180829
08249,50S M,20180829
08521,30S M,20180829
08975,50S M,20180829
09200,50S M,20180829
09599,40S M,20180829
09653,50S M,20180829
09653,50S M,20180829
09653,50S M,20180829
09724,40S F,20180829
09724,40S F,20180829
09725,40S F,20180829
09925,40S M,20180829
09974,40S F,20180829
10208,30S F,20180829
10242,20S F,20180829
10671,30S F,20180829
10845,30S F,20180829
10902,30S M,20180829
10953,20S M,20180829
11046,40S F,20180829
11158,20S F,20180829
11681,30S F,20180829
11681,30S F,20180829
11718,40S F,20180829
11765,50S M,20180829
11825,20S M,20180829
12241,30S F,20180829
12528,30S F,20180829
12551,20S F,20180829
12924,20S M,20180829
13321,50S M,20180829
13440,20S M,20180829
13507,30S F,20180829
14163,30S F,20180829
14305,30S F,20180829
14575,40S M,20180829
14825,40S M,20180829
14942,40S M,20180829
14974,50S M,20180829
14974,50S M,20180829
15043,50S M,20180829
15380,50S M,20180829
15665,30S M,20180829
15877,30S F,20180829
15996,30S F,20180829
16147,20S F,20180829
16183,40S F,20180829
17380,30S F,20180829
17457,40S M,20180829
17558,30S F,20180829
17633,50S M,20180829
17633,50S M,20180829
17807,40S F,20180829
17846,30S F,20180829
17846,30S F,20180829
17946,30S F,20180829
18109,20S M,20180829
18169,30S F,20180829
18209,30S F,20180829
18962,20S F,20180829
00214,30S M,20180829
00791,30S M,20180829
01305,30S F,20180829
01305,30S F,20180829
01608,50S M,20180829
01871,30S M,20180829
02470,40S F,20180829
02667,30S M,20180829
02675,30S F,20180829
02882,30S M,20180829
03028,30S M,20180829
03041,30S M,20180829
03275,50S M,20180829
03275,50S M,20180829
03506,40S F,20180829
03679,50S M,20180829
04203,40S F,20180829
05108,30S F,20180829
05501,30S M,20180829
05777,40S M,20180829
05910,20S F,20180829
05940,30S M,20180829
06058,40S F,20180829
06058,40S F,20180829
06200,40S M,20180829
06220,30S F,20180829
06235,30S F,20180829
06635,40S M,20180829
06635,40S M,20180829
06635,40S M,20180829
06703,20S M,20180829
07032,30S M,20180829
07088,40S F,20180829
07342,20S M,20180829
07427,40S M,20180829
07427,40S M,20180829
07458,50S M,20180829
07486,30S F,20180829
07680,30S F,20180829
08117,30S M,20180829
08117,30S M,20180829
08266,50S M,20180829
08603,40S M,20180829
08667,30S F,20180829
08770,40S M,20180829
08796,50S M,20180829
09066,30S F,20180829
09185,30S F,20180829
09211,40S F,20180829
09211,40S F,20180829
09256,30S F,20180829
09303,30S M,20180829
09398,40S M,20180829
09484,20S M,20180829
09484,20S M,20180829
09637,30S F,20180829
09748,30S F,20180829
09994,50S M,20180829
10398,30S F,20180829
10398,30S F,20180829
10593,50S M,20180829
10735,30S M,20180829
10735,30S M,20180829
10773,20S M,20180829
11259,50S M,20180829
11303,30S F,20180829
11335,40S F,20180829
11351,40S F,20180829
11384,30S M,20180829
11407,30S M,20180829
12017,50S M,20180829
12134,30S M,20180829
12148,30S M,20180829
12359,40S F,20180829
12449,30S M,20180829
12449,30S M,20180829
12499,30S F,20180829
12559,30S M,20180829
12877,20S M,20180829
13540,30S F,20180829
14280,30S M,20180829
14477,40S M,20180829
14662,40S F,20180829
14664,30S M,20180829
14682,50S M,20180829
14816,30S F,20180829
15215,40S M,20180829
15630,30S F,20180829
15869,30S M,20180829
15869,30S M,20180829
15876,40S M,20180829
16096,30S M,20180829
16453,30S F,20180829
16526,40S F,20180829
16526,40S F,20180829
16669,30S M,20180829
16698,20S M,20180829
17162,40S M,20180829
17350,20S M,20180829
17350,20S M,20180829
17488,50S M,20180829
17588,30S F,20180829
17635,30S F,20180829
17635,30S F,20180829
18232,50S M,20180829
18232,50S M,20180829
18947,30S M,20180829
00382,30S M,20180829
00484,40S M,20180829
00484,40S M,20180829
00691,20S M,20180829
00702,40S M,20180829
00702,40S M,20180829
00794,40S M,20180829
01212,40S M,20180829
01234,20S F,20180829
01234,20S F,20180829
02122,30S M,20180829
02311,40S F,20180829
02541,30S M,20180829
02586,50S M,20180829
02802,40S F,20180829
03156,30S F,20180829
03156,30S F,20180829
03505,30S M,20180829
03629,50S M,20180829
04464,50S M,20180829
04464,50S M,20180829
05079,30S F,20180829
05082,40S M,20180829
05363,40S F,20180829
05495,40S F,20180829
05496,30S F,20180829
05528,20S M,20180829
05576,20S M,20180829
05662,50S M,20180829
06078,40S M,20180829
06262,50S M,20180829
06276,50S M,20180829
06457,30S M,20180829
06475,30S F,20180829
06475,30S F,20180829
06559,40S F,20180829
06998,20S F,20180829
07063,50S M,20180829
07066,50S M,20180829
07189,40S M,20180829
07271,40S M,20180829
07625,30S F,20180829
07716,40S M,20180829
07716,40S M,20180829
08262,30S F,20180829
09016,40S M,20180829
09146,30S F,20180829
09384,30S M,20180829
09401,50S M,20180829
09883,30S F,20180829
10065,50S M,20180829
10281,20S F,20180829
10295,30S F,20180829
10414,50S M,20180829
10596,20S M,20180829
10656,20S M,20180829
10728,30S F,20180829
11269,30S F,20180829
11269,30S F,20180829
11365,20S F,20180829
11530,30S F,20180829
11533,40S M,20180829
11676,50S M,20180829
11797,20S M,20180829
12126,40S F,20180829
12688,30S F,20180829
12688,30S F,20180829
12821,40S F,20180829
12850,40S M,20180829
12850,40S M,20180829
12859,20S F,20180829
12974,50S M,20180829
13359,30S F,20180829
13729,20S F,20180829
13758,40S M,20180829
13982,30S F,20180829
14154,40S F,20180829
14167,50S M,20180829
14167,50S M,20180829
14249,30S F,20180829
14328,30S M,20180829
14448,30S F,20180829
14552,30S F,20180829
15020,50S M,20180829
15020,50S M,20180829
15874,50S M,20180829
16163,50S M,20180829
17327,40S M,20180829
17685,40S M,20180829
17832,20S M,20180829
17832,20S M,20180829
18544,30S F,20180829
18544,30S F,20180829
18560,20S F,20180829
18560,20S F,20180829
18729,20S M,20180829
18970,40S F,20180829
18990,40S M,20180829
19073,30S F,20180829
19073,30S F,20180829
00009,30S F,20180829
00272,30S F,20180829
00557,50S M,20180829
00947,40S F,20180829
01061,20S F,20180829
01486,30S F,20180829
01757,50S M,20180829
02080,30S F,20180829
02145,40S M,20180829
02145,40S M,20180829
02390,30S M,20180829
02479,40S F,20180829
02652,30S M,20180829
02877,30S F,20180829
02992,30S F,20180829
02992,30S F,20180829
03351,30S F,20180829
03713,30S M,20180829
03748,30S F,20180829
03812,50S M,20180829
04399,30S M,20180829
04967,20S M,20180829
06185,30S M,20180829
06868,30S M,20180829
07082,40S M,20180829
07206,20S F,20180829
07302,30S M,20180829
07472,40S M,20180829
07472,40S M,20180829
08006,50S M,20180829
08051,40S M,20180829
08832,30S M,20180829
08995,20S F,20180829
08995,20S F,20180829
09065,30S F,20180829
09271,30S F,20180829
09271,30S F,20180829
09618,30S M,20180829
09672,30S M,20180829
10055,50S M,20180829
10055,50S M,20180829
10549,40S F,20180829
10738,30S F,20180829
10746,30S F,20180829
11007,30S F,20180829
11007,30S F,20180829
11058,40S M,20180829
11207,20S M,20180829
11207,20S M,20180829
11366,40S M,20180829
11454,30S M,20180829
11713,40S F,20180829
11891,40S F,20180829
12517,20S M,20180829
12523,30S F,20180829
12636,40S F,20180829
12813,30S F,20180829
12884,30S F,20180829
12897,50S M,20180829
12931,30S F,20180829
13029,40S F,20180829
13045,30S M,20180829
13557,30S F,20180829
13726,20S F,20180829
14009,30S F,20180829
14098,30S F,20180829
14235,30S F,20180829
14235,30S F,20180829
14652,50S M,20180829
14670,30S F,20180829
14712,30S F,20180829
14963,30S F,20180829
15382,30S F,20180829
15433,40S F,20180829
15514,50S M,20180829
15945,40S M,20180829
16286,30S F,20180829
16452,30S M,20180829
16601,40S M,20180829
16815,30S M,20180829
16884,40S M,20180829
17059,40S F,20180829
17161,50S M,20180829
17514,50S M,20180829
17594,40S M,20180829
17793,40S F,20180829
17959,30S M,20180829
17993,30S F,20180829
18093,20S M,20180829
18348,30S F,20180829
18348,30S F,20180829
18386,30S F,20180829
18386,30S F,20180829
18406,30S F,20180829
18530,20S F,20180829
00168,40S F,20180829
00329,30S F,20180829
00631,30S F,20180829
00631,30S F,20180829
00671,20S F,20180829
00671,20S F,20180829
00832,20S M,20180829
01332,30S M,20180829
01497,20S F,20180829
01582,20S M,20180829
01622,40S F,20180829
01760,30S F,20180829
02320,30S M,20180829
02534,30S M,20180829
03763,20S F,20180829
04110,50S M,20180829
04318,30S M,20180829
04540,30S F,20180829
04712,30S M,20180829
04748,40S F,20180829
04751,50S M,20180829
04834,40S M,20180829
04863,30S F,20180829
04979,30S F,20180829
05264,40S M,20180829
05505,30S M,20180829
05616,50S M,20180829
05882,50S M,20180829
06048,50S M,20180829
06230,50S M,20180829
06374,30S F,20180829
07089,30S F,20180829
07148,30S F,20180829
07297,40S M,20180829
07440,50S M,20180829
08019,50S M,20180829
08277,40S M,20180829
08277,40S M,20180829
08403,30S F,20180829
08529,50S M,20180829
08737,30S F,20180829
08745,40S M,20180829
09139,30S F,20180829
09232,40S M,20180829
09349,30S M,20180829
09485,20S M,20180829
09678,30S M,20180829
09678,30S M,20180829
09681,30S F,20180829
10395,30S F,20180829
10597,20S F,20180829
10600,30S M,20180829
10637,20S M,20180829
11080,40S M,20180829
11562,20S F,20180829
11658,30S M,20180829
11667,40S F,20180829
11709,30S F,20180829
11965,50S M,20180829
12719,30S M,20180829
12889,30S F,20180829
13245,30S F,20180829
13392,40S M,20180829
13401,30S F,20180829
13520,20S F,20180829
13673,40S F,20180829
13932,30S F,20180829
14023,50S M,20180829
14231,30S F,20180829
14399,50S M,20180829
14459,20S F,20180829
14546,30S F,20180829
14732,30S F,20180829
14732,30S F,20180829
15006,40S F,20180829
15192,40S M,20180829
15192,40S M,20180829
15218,30S F,20180829
15278,40S M,20180829
16222,20S F,20180829
16293,40S M,20180829
16413,40S F,20180829
16824,30S F,20180829
16824,30S F,20180829
17599,30S F,20180829
17900,20S F,20180829
17901,30S F,20180829
18088,50S M,20180829
18754,30S F,20180829
18823,20S F,20180829
19101,20S M,20180829
00339,30S F,20180829
00412,30S F,20180829
00425,40S F,20180829
00709,20S F,20180829
00772,50S M,20180829
00839,20S F,20180829
01685,30S F,20180829
02096,40S M,20180829
02530,50S M,20180829
02638,30S F,20180829
02871,40S F,20180829
02905,30S M,20180829
02920,30S M,20180829
03050,30S M,20180829
03135,30S M,20180829
03397,40S F,20180829
03805,20S M,20180829
03805,20S M,20180829
03827,40S F,20180829
03828,30S F,20180829
04233,30S F,20180829
04299,20S F,20180829
04355,20S F,20180829
04413,40S M,20180829
04743,40S M,20180829
04755,40S F,20180829
04913,30S F,20180829
05052,20S F,20180829
05077,20S M,20180829
05213,20S M,20180829
05230,30S F,20180829
05413,50S M,20180829
05589,30S F,20180829
05831,40S M,20180829
06346,40S F,20180829
06378,30S F,20180829
06422,50S M,20180829
06422,50S M,20180829
07058,30S M,20180829
07240,40S M,20180829
07293,40S F,20180829
07737,20S F,20180829
07850,20S M,20180829
08115,20S M,20180829
08139,50S M,20180829
08204,40S M,20180829
08462,30S F,20180829
08684,30S F,20180829
08684,30S F,20180829
08825,30S F,20180829
08834,30S F,20180829
08834,30S F,20180829
08994,30S F,20180829
09114,20S M,20180829
09182,30S M,20180829
09421,40S M,20180829
09464,30S F,20180829
09483,40S M,20180829
09517,50S M,20180829
09619,30S F,20180829
09644,30S M,20180829
09644,30S M,20180829
09933,30S F,20180829
10125,40S M,20180829
10149,30S F,20180829
10644,30S M,20180829
10729,30S F,20180829
10781,40S M,20180829
10863,20S M,20180829
11680,30S M,20180829
11680,30S M,20180829
11867,30S F,20180829
11867,30S F,20180829
11881,40S M,20180829
12082,30S F,20180829
12414,40S F,20180829
12456,40S M,20180829
12456,40S M,20180829
12538,20S F,20180829
12627,20S M,20180829
12661,40S M,20180829
13073,30S F,20180829
13211,20S M,20180829
13354,40S F,20180829
13467,30S F,20180829
13467,30S F,20180829
13552,50S M,20180829
13677,40S M,20180829
13677,40S M,20180829
14179,20S F,20180829
14331,30S M,20180829
14603,30S M,20180829
14746,40S M,20180829
14981,30S F,20180829
15014,30S F,20180829
15097,50S M,20180829
15147,30S F,20180829
15147,30S F,20180829
15211,30S F,20180829
15242,40S M,20180829
15556,40S F,20180829
15609,30S M,20180829
15939,20S M,20180829
16093,30S M,20180829
16493,50S M,20180829
16659,20S F,20180829
16675,40S F,20180829
16675,40S F,20180829
16675,40S F,20180829
16684,30S F,20180829
17224,40S M,20180829
17354,30S F,20180829
17744,20S F,20180829
17788,30S M,20180829
17788,30S M,20180829
17792,20S F,20180829
17933,50S M,20180829
18024,40S M,20180829
18394,30S F,20180829
00190,30S M,20180829
00190,30S M,20180829
00612,40S M,20180829
00681,40S M,20180829
01199,20S M,20180829
01501,40S M,20180829
01547,30S F,20180829
01805,30S F,20180829
02348,30S M,20180829
02778,50S M,20180829
02922,30S F,20180829
03248,20S M,20180829
03321,30S M,20180829
03489,40S F,20180829
03617,20S F,20180829
04089,20S M,20180829
04360,50S M,20180829
04509,30S F,20180829
04991,30S M,20180829
05307,30S F,20180829
05307,30S F,20180829
05353,50S M,20180829
05701,40S M,20180829
05701,40S M,20180829
05751,30S F,20180829
05760,30S M,20180829
05956,40S F,20180829
05956,40S F,20180829
06388,40S M,20180829
06534,30S F,20180829
06679,40S M,20180829
06839,30S M,20180829
06996,20S M,20180829
07056,40S M,20180829
